Date,Open,High,Low,Close,Adj Close,Volume
2015-09-02,104.599998,105.570000,104.230003,105.180000,98.648521,454200
2015-09-03,105.360001,105.940002,104.349998,105.150002,98.620415,303500
2015-09-04,104.220001,105.529999,104.080002,105.500000,98.948669,496200
2015-09-08,107.489998,109.180000,106.680000,109.000000,102.231331,455200
2015-09-09,111.730003,111.980003,107.959999,108.180000,101.462227,561900
2015-09-10,107.779999,108.639999,107.529999,107.930000,101.227783,384500
2015-09-11,107.620003,110.239998,107.309998,110.220001,103.673340,304600
2015-09-14,110.220001,110.959999,109.370003,110.290001,103.739189,262800
2015-09-15,110.150002,111.919998,109.129997,111.820000,105.178276,638100
2015-09-16,111.540001,111.989998,110.089996,111.620003,104.990166,339100
2015-09-17,111.629997,113.639999,110.870003,112.599998,105.911972,386900
2015-09-18,111.680000,113.089996,111.400002,111.680000,105.046623,594900
2015-09-21,112.169998,112.650002,110.220001,111.029999,104.435226,358600
2015-09-22,109.889999,111.169998,109.389999,110.870003,104.284737,299900
2015-09-23,111.169998,111.320000,110.199997,110.970001,104.378799,177300
2015-09-24,110.180000,110.720001,108.910004,110.290001,103.739189,383900
2015-09-25,110.800003,114.699997,110.650002,112.949997,106.241180,666300
2015-09-28,112.000000,112.839996,107.480003,108.540001,102.093124,839300
2015-09-29,107.809998,107.809998,104.300003,105.870003,99.581696,1031100
2015-09-30,107.470001,108.709999,106.980003,107.910004,101.500534,539600
2015-10-01,107.989998,108.919998,103.500000,105.330002,99.073792,724000
2015-10-02,105.419998,106.959999,103.750000,106.879997,100.531715,1005100
2015-10-05,107.070000,108.430000,105.910004,108.349998,101.914398,767300
2015-10-06,108.739998,109.209999,106.860001,107.260002,100.889137,655100
2015-10-07,107.370003,108.290001,105.739998,108.029999,101.613403,958000
2015-10-08,102.580002,107.750000,100.559998,102.639999,96.543556,3791600
2015-10-09,102.830002,106.330002,102.760002,105.379997,99.120804,1251500
2015-10-12,105.160004,107.000000,104.959999,106.080002,99.779205,587500
2015-10-13,105.459999,106.629997,105.459999,106.169998,99.863876,648700
2015-10-14,106.739998,107.290001,103.970001,104.370003,98.170799,716600
2015-10-15,104.400002,106.010002,103.510002,105.860001,99.572304,650000
2015-10-16,106.000000,106.559998,105.370003,106.220001,99.910927,407100
2015-10-19,105.870003,107.440002,105.379997,107.250000,100.879730,494500
2015-10-20,107.430000,107.470001,105.879997,106.190002,99.882683,346800
2015-10-21,105.709999,105.739998,102.370003,103.459999,97.314827,771300
2015-10-22,104.180000,104.699997,102.739998,103.959999,97.785133,365100
2015-10-23,104.919998,105.449997,103.370003,104.099998,97.916832,499000
2015-10-26,103.790001,105.860001,103.660004,105.809998,99.525269,381000
2015-10-27,105.790001,106.169998,104.419998,104.959999,98.725754,418700
2015-10-28,105.510002,110.099998,105.489998,109.709999,103.193626,1465600
2015-10-29,110.129997,110.519997,108.730003,109.400002,102.902046,524200
2015-10-30,109.739998,110.059998,106.529999,106.669998,100.334183,531600
2015-11-02,106.550003,109.650002,106.489998,108.750000,102.290627,491700
2015-11-03,108.290001,108.820000,107.019997,107.169998,100.804482,417800
2015-11-04,106.699997,108.260002,103.879997,105.050003,98.810410,591400
2015-11-05,105.389999,105.860001,103.269997,104.110001,97.926231,577400
2015-11-06,104.070000,104.500000,102.860001,104.440002,98.236633,434200
2015-11-09,104.209999,104.209999,102.150002,103.040001,96.919785,648800
2015-11-10,102.620003,104.260002,102.360001,104.230003,98.039116,382900
2015-11-11,104.510002,105.949997,103.989998,105.209999,98.960899,399300
2015-11-12,105.080002,105.139999,102.580002,102.889999,96.778709,402500
2015-11-13,102.800003,103.370003,101.379997,101.620003,95.584137,366700
2015-11-16,101.019997,103.629997,100.589996,103.489998,97.343071,415300
2015-11-17,103.800003,104.830002,102.160004,102.239998,96.167305,496800
2015-11-18,102.239998,104.330002,102.199997,104.070000,97.888611,437900
2015-11-19,104.000000,105.870003,102.070000,104.519997,98.311874,478700
2015-11-20,104.989998,105.639999,104.230003,105.019997,98.782181,459600
2015-11-23,104.940002,108.110001,104.940002,107.709999,101.312393,526700
2015-11-24,107.059998,107.860001,105.720001,107.440002,101.058449,422300
2015-11-25,107.860001,109.620003,107.169998,109.150002,102.666901,413200
2015-11-27,109.099998,109.790001,108.260002,108.650002,102.196609,108500
2015-11-30,108.500000,109.129997,107.230003,107.470001,101.086670,359600
2015-12-01,107.709999,109.529999,107.709999,108.860001,102.394104,411700
2015-12-02,108.730003,109.680000,108.209999,108.800003,102.337677,647900
2015-12-03,109.250000,109.669998,106.900002,107.440002,101.058449,523400
2015-12-04,107.879997,110.220001,107.589996,109.830002,103.306511,698300
2015-12-07,109.830002,110.989998,109.370003,110.389999,103.833229,680000
2015-12-08,109.300003,110.879997,109.220001,109.940002,103.409973,696200
2015-12-09,109.790001,110.839996,108.080002,109.099998,102.619850,722000
2015-12-10,109.470001,110.220001,108.709999,109.339996,102.845589,565000
2015-12-11,108.110001,108.980003,107.709999,108.639999,102.477730,629400
2015-12-14,108.410004,109.760002,108.190002,109.379997,103.175766,513300
2015-12-15,110.089996,110.389999,109.540001,109.930000,103.694557,718500
2015-12-16,110.169998,110.910004,108.589996,109.220001,103.024841,1006600
2015-12-17,109.769997,110.500000,109.290001,109.370003,103.166336,856900
2015-12-18,109.199997,109.739998,107.250000,108.839996,102.666389,655800
2015-12-21,109.349998,110.129997,109.120003,109.730003,103.505905,868600
2015-12-22,110.000000,110.000000,108.029999,109.410004,103.204033,730400
2015-12-23,109.349998,109.629997,108.099998,109.480003,103.270081,654800
2015-12-24,109.610001,109.699997,109.160004,109.540001,103.326683,506000
2015-12-28,109.669998,110.180000,108.360001,110.129997,103.883209,1176400
2015-12-29,110.400002,112.800003,110.169998,112.000000,105.647156,1034300
2015-12-30,112.410004,112.820000,111.269997,111.510002,105.184937,572700
2015-12-31,111.150002,112.449997,110.860001,111.250000,104.939682,596600
2016-01-04,109.959999,110.500000,108.269997,109.230003,103.034256,867500
2016-01-05,109.230003,110.629997,109.230003,109.930000,103.694557,809000
2016-01-06,107.889999,110.040001,107.580002,109.769997,103.543602,901800
2016-01-07,108.000000,109.489998,106.730003,106.750000,100.694931,963100
2016-01-08,107.089996,109.800003,107.019997,108.970001,102.789024,1002200
2016-01-11,109.190002,110.099998,105.250000,106.220001,100.194992,1025000
2016-01-12,106.620003,109.980003,106.620003,109.760002,103.534172,905500
2016-01-13,109.709999,110.639999,107.639999,107.959999,101.836296,1449300
2016-01-14,107.970001,108.239998,104.800003,107.139999,101.062805,791900
2016-01-15,105.160004,105.330002,101.010002,104.160004,98.251846,1671900
2016-01-19,104.660004,106.320000,103.779999,104.919998,98.968727,728900
2016-01-20,103.220001,107.019997,101.300003,106.459999,100.421379,1033200
2016-01-21,106.699997,108.489998,105.430000,107.709999,101.600449,1205400
2016-01-22,108.489998,111.800003,108.300003,111.599998,105.269829,1499900
2016-01-25,111.959999,112.000000,110.300003,110.730003,104.449181,882700
2016-01-26,110.769997,112.690002,110.290001,112.169998,105.807480,528600
2016-01-27,111.660004,112.370003,110.360001,111.059998,104.760452,421900
2016-01-28,111.519997,112.709999,110.470001,112.199997,105.835785,464000
2016-01-29,112.260002,113.980003,111.480003,113.930000,107.467667,796300
2016-02-01,113.550003,114.760002,113.070000,114.349998,107.863838,734500
2016-02-02,113.790001,114.169998,112.760002,113.750000,107.297882,616300
2016-02-03,114.120003,114.510002,112.190002,113.800003,107.345024,799800
2016-02-04,113.570000,114.290001,112.500000,114.000000,107.533699,612000
2016-02-05,114.000000,114.480003,109.989998,110.370003,104.109596,929600
2016-02-08,109.000000,109.019997,106.339996,108.160004,102.024963,1085100
2016-02-09,107.199997,108.820000,104.099998,105.620003,99.629021,1310200
2016-02-10,106.949997,109.139999,106.720001,107.000000,100.930748,716200
2016-02-11,105.449997,107.540001,104.180000,106.900002,100.836418,918900
2016-02-12,107.839996,110.199997,107.309998,109.500000,103.288948,660200
2016-02-16,110.570000,111.489998,109.580002,111.080002,104.779320,598900
2016-02-17,111.540001,114.529999,111.540001,112.949997,106.543251,911800
2016-02-18,112.739998,113.779999,111.800003,112.040001,105.684875,870000
2016-02-19,112.029999,113.230003,110.900002,112.870003,106.467796,1564700
2016-02-22,114.209999,115.860001,113.419998,115.089996,108.561882,814500
2016-02-23,115.129997,118.050003,115.040001,117.620003,110.948372,1344800
